0,1/1/1979
1,1/2/1979
2,1/3/1979
3,1/4/1979
4,1/5/1979
5,1/6/1979
6,1/7/1979
7,1/8/1979
8,1/9/1979
9,1/10/1979
10,1/11/1979
11,1/12/1979
12,1/13/1979
13,1/14/1979
14,1/15/1979
15,1/16/1979
16,1/17/1979
17,1/18/1979
18,1/19/1979
19,1/20/1979
20,1/21/1979
21,1/22/1979
22,1/23/1979
23,1/24/1979
24,1/25/1979
25,1/26/1979
26,1/27/1979
27,1/28/1979
28,1/29/1979
29,1/30/1979
30,1/31/1979
31,2/1/1979
32,2/2/1979
33,2/3/1979
34,2/4/1979
35,2/5/1979
36,2/6/1979
37,2/7/1979
38,2/8/1979
39,2/9/1979
40,2/10/1979
41,2/11/1979
42,2/12/1979
43,2/13/1979
44,2/14/1979
45,2/15/1979
46,2/16/1979
47,2/17/1979
48,2/18/1979
49,2/19/1979
50,2/20/1979
51,2/21/1979
52,2/22/1979
53,2/23/1979
54,2/24/1979
55,2/25/1979
56,2/26/1979
57,2/27/1979
58,2/28/1979
59,3/1/1979
60,3/2/1979
61,3/3/1979
62,3/4/1979
63,3/5/1979
64,3/6/1979
65,3/7/1979
66,3/8/1979
67,3/9/1979
68,3/10/1979
69,3/11/1979
70,3/12/1979
71,3/13/1979
72,3/14/1979
73,3/15/1979
74,3/16/1979
75,3/17/1979
76,3/18/1979
77,3/19/1979
78,3/20/1979
79,3/21/1979
80,3/22/1979
81,3/23/1979
82,3/24/1979
83,3/25/1979
84,3/26/1979
85,3/27/1979
86,3/28/1979
87,3/29/1979
88,3/30/1979
89,3/31/1979
90,4/1/1979
91,4/2/1979
92,4/3/1979
93,4/4/1979
94,4/5/1979
95,4/6/1979
96,4/7/1979
97,4/8/1979
98,4/9/1979
99,4/10/1979
100,4/11/1979
101,4/12/1979
102,4/13/1979
103,4/14/1979
104,4/15/1979
105,4/16/1979
106,4/17/1979
107,4/18/1979
108,4/19/1979
109,4/20/1979
110,4/21/1979
111,4/22/1979
112,4/23/1979
113,4/24/1979
114,4/25/1979
115,4/26/1979
116,4/27/1979
117,4/28/1979
118,4/29/1979
119,4/30/1979
120,5/1/1979
121,5/2/1979
122,5/3/1979
123,5/4/1979
124,5/5/1979
125,5/6/1979
126,5/7/1979
127,5/8/1979
128,5/9/1979
129,5/10/1979
130,5/11/1979
131,5/12/1979
132,5/13/1979
133,5/14/1979
134,5/15/1979
135,5/16/1979
136,5/17/1979
137,5/18/1979
138,5/19/1979
139,5/20/1979
140,5/21/1979
141,5/22/1979
142,5/23/1979
143,5/24/1979
144,5/25/1979
145,5/26/1979
146,5/27/1979
147,5/28/1979
148,5/29/1979
149,5/30/1979
150,5/31/1979
151,6/1/1979
152,6/2/1979
153,6/3/1979
154,6/4/1979
155,6/5/1979
156,6/6/1979
157,6/7/1979
158,6/8/1979
159,6/9/1979
160,6/10/1979
161,6/11/1979
162,6/12/1979
163,6/13/1979
164,6/14/1979
165,6/15/1979
166,6/16/1979
167,6/17/1979
168,6/18/1979
169,6/19/1979
170,6/20/1979
171,6/21/1979
172,6/22/1979
173,6/23/1979
174,6/24/1979
175,6/25/1979
176,6/26/1979
177,6/27/1979
178,6/28/1979
179,6/29/1979
