LAT,LONG,ELEVATION,MAXTEMP,MINTEMP,RAIN,WINDSPEED,HUMIDITY,SOLAR
82.5,22.0121002197266,262.0,30.133000000000003,16.542,0.0,3.78105788250171,0.22624218003899899,23.965308648,nan
82.8125,22.0121002197266,253.0,30.543000000000003,16.28,0.0,3.87937530110147,0.23669951593734,23.873121468,nan
83.125,22.0121002197266,234.0,31.62,16.175,0.0,3.8963212255858304,0.240910431781255,23.747742396,nan
83.4375,22.0121002197266,326.0,32.415,16.45,0.0,3.83947282003255,0.24133598902726397,23.466995028000003,nan
83.75,22.0121002197266,276.0,33.217,17.104,0.0,3.70814054777816,0.240643105379656,22.99544892,nan
84.0625,22.0121002197266,220.0,33.969,17.628,0.0,3.54218747427607,0.24279293972733804,22.725899711999997,nan
84.375,22.0121002197266,337.0,34.41,18.022000000000002,0.0,3.4455998325880497,0.246466075883147,22.91658732,nan
84.6875,22.0121002197266,422.0,34.455999999999996,18.397000000000002,0.0,3.4050147724973194,0.251985831661906,23.017275899999998,nan
85.0,22.0121002197266,220.0,34.258,19.217,0.0,3.2116125508439497,0.263241386950071,21.591954,nan
85.3125,22.0121002197266,552.0,33.893,19.624000000000002,0.0,2.82578142109459,0.28260740716932103,18.527677955999998,nan
85.625,22.0121002197266,361.0,33.501999999999995,19.682000000000002,0.0,2.6642335819225402,0.30498560049861306,15.964369812000001,nan
85.9375,22.0121002197266,402.0,33.284,19.79,0.0,2.8953532371647297,0.32100254829374997,14.81203548,nan
86.25,22.0121002197266,587.0,33.413000000000004,20.385,0.0,3.0313763186939706,0.33226616967855394,14.31815958,nan
86.5625,22.0121002197266,175.0,34.016,21.864,0.0,2.93321039048484,0.336090898956329,15.23942127,nan
86.875,22.0121002197266,43.0,34.747,22.451,0.0,2.6779899122229103,0.340481986570557,17.8796826,nan
87.1875,22.0121002197266,22.0,35.211,23.09,0.0,2.3895198832670297,0.363008709443435,19.78234065,nan
87.5,22.0121002197266,9.0,34.918,22.178,0.0,2.09390435412873,0.40798741114814296,20.02106727,nan
87.8125,22.0121002197266,8.0,34.418,20.995,0.0,1.8925046914121801,0.46316683584148705,18.195529842,nan
88.125,22.0121002197266,7.0,35.244,22.243000000000002,0.0,1.92254436950219,0.484055016105641,17.14730355,nan
82.5,22.324399948120103,306.0,28.526,16.38,0.0,3.94552835864454,0.228130707917935,24.04343826,nan
82.8125,22.324399948120103,294.0,28.741,16.63,0.0,3.9632683961341697,0.24097763553724103,23.995632384,nan
83.125,22.324399948120103,292.0,29.284000000000002,16.464000000000002,0.0,3.8290082654692594,0.249317566763635,23.895222048,nan
83.4375,22.324399948120103,403.0,30.456999999999997,16.007,0.0,3.6814051051104904,0.25105245410951,23.7735045,nan
83.75,22.324399948120103,388.0,31.895,16.225,0.0,3.61218491327139,0.248394528378203,23.586187896,nan
84.0625,22.324399948120103,267.0,33.289,16.655,0.0,3.6116888251664503,0.24750422860003699,23.388360732,nan
84.375,22.324399948120103,315.0,34.186,17.247,0.0,3.6637486886584996,0.248308580645037,23.299588116,nan
84.6875,22.324399948120103,216.0,34.321,17.522000000000002,0.0,3.6034204751799903,0.25257056677510104,22.81961232,nan
85.0,22.324399948120103,212.0,34.008,17.825,0.0,3.2076249344143997,0.264241557950178,20.401706988,nan
85.3125,22.324399948120103,326.0,33.461,18.315,0.0,2.6703859826441403,0.282017864428629,17.211318300000002,nan
85.625,22.324399948120103,445.0,33.407,18.942,0.0,2.77338814367798,0.299570335862117,15.83938503,nan
85.9375,22.324399948120103,276.0,33.393,19.667,0.0,3.17499215778456,0.31250351300333196,15.49563615,nan
86.25,22.324399948120103,285.0,33.330999999999996,20.524,0.0,3.41258950253363,0.321374213429836,16.18211763,nan
86.5625,22.324399948120103,137.0,33.457,21.747,0.0,3.52171745640961,0.321239561525109,18.26510679,nan
86.875,22.324399948120103,73.0,34.239000000000004,22.71,0.0,3.5272734883699997,0.31782432615363004,20.28695796,nan
87.1875,22.324399948120103,66.0,34.555,22.897,0.0,3.40738240046201,0.325169549508693,21.68611623,nan
