LAT,LONG,ELEVATION,MAXTEMP,MINTEMP,RAIN,WINDSPEED,HUMIDITY,SOLAR
82.5,22.0121002197266,262.0,29.182,10.657,0.0,1.890541412711,0.30055315279514505,19.37598678,nan
82.8125,22.0121002197266,253.0,29.418000000000003,10.648,0.0,1.8931025845913,0.296855904941338,19.80876852,nan
83.125,22.0121002197266,234.0,29.287,10.607000000000001,0.0,1.8624619880911801,0.30596393298943103,19.96008525,nan
83.4375,22.0121002197266,326.0,28.897,10.306,0.0,1.7302190928207202,0.32838796241255497,20.03821812,nan
83.75,22.0121002197266,276.0,28.274,9.96199999999999,0.0,1.5849233925247699,0.34922356871148497,20.10318705,nan
84.0625,22.0121002197266,220.0,27.569000000000003,9.35700000000003,0.0,1.56714447873885,0.36885698965002595,20.17001178,nan
84.375,22.0121002197266,337.0,26.86,8.624000000000018,0.0,1.54030189024978,0.392270464139716,20.250110682,nan
84.6875,22.0121002197266,422.0,26.123,7.822999999999981,0.0,1.49869716705359,0.41188511114554904,20.361145932,nan
85.0,22.0121002197266,220.0,25.323,6.476,0.0,1.4848448952245,0.458270562959966,20.52006003,nan
85.3125,22.0121002197266,552.0,24.475,5.44999999999999,0.0,1.4560125625076699,0.488313192775141,20.63441178,nan
85.625,22.0121002197266,361.0,23.815,5.1610000000000005,0.0,1.40492123423958,0.4647021031275179,20.64807873,nan
85.9375,22.0121002197266,402.0,23.539,4.461999999999991,0.0,1.4145759722044298,0.504879077381438,20.64713013,nan
86.25,22.0121002197266,587.0,23.75,4.58300000000003,0.0,1.6497467505918602,0.52249713748058,20.61691623,nan
86.5625,22.0121002197266,175.0,24.581999999999997,6.82100000000003,0.0,1.9032886807527802,0.447323275416039,20.54666025,nan
86.875,22.0121002197266,43.0,25.748,8.96600000000001,0.0,1.91691694428799,0.41619864434988596,20.454076800000003,nan
87.1875,22.0121002197266,22.0,26.1,9.61000000000001,0.0,1.8025529586254498,0.41562760539024607,20.41251048,nan
87.5,22.0121002197266,9.0,25.948,10.087,0.0,1.79578475819502,0.423165734338834,20.41436088,nan
87.8125,22.0121002197266,8.0,25.756,11.325,0.0,2.04595464981994,0.41664239066778797,20.4809103,nan
88.125,22.0121002197266,7.0,26.065,12.417,0.0,2.47823694238087,0.390430371658655,20.524167000000002,nan
82.5,22.324399948120103,306.0,28.733,10.173,0.0,1.76468529663845,0.31912820434875,19.68901929,nan
82.8125,22.324399948120103,294.0,28.51,10.228,0.0,1.8811807952819197,0.314421797376695,19.97054568,nan
83.125,22.324399948120103,292.0,28.258000000000003,10.067,0.0,1.9051291136627901,0.318798094369033,20.124398232,nan
83.4375,22.324399948120103,403.0,28.171999999999997,9.692000000000009,0.0,1.75051342459738,0.33170185217439696,20.21901183,nan
83.75,22.324399948120103,388.0,27.854,9.113999999999981,0.0,1.5355973606723898,0.348721177217118,20.270252052,nan
84.0625,22.324399948120103,267.0,27.261999999999997,8.372000000000009,0.0,1.50668983590492,0.364851304393629,20.2751469,nan
84.375,22.324399948120103,315.0,26.416,8.206000000000019,0.0,1.5134748210193998,0.374075816128216,20.289769848,nan
84.6875,22.324399948120103,216.0,25.596999999999998,8.223999999999991,0.0,1.4344162989282598,0.38542771041575496,20.36109465,nan
85.0,22.324399948120103,212.0,25.168000000000003,6.937000000000009,0.0,1.4072581987420703,0.438461697616271,20.48219505,nan
85.3125,22.324399948120103,326.0,24.756999999999998,5.476,0.0,1.36892699343835,0.498621592314083,20.560218300000003,nan
85.625,22.324399948120103,445.0,24.136,5.399,0.0,1.34616479476098,0.48259682244065294,20.5422777,nan
85.9375,22.324399948120103,276.0,23.88,5.581000000000019,0.0,1.3776113586632601,0.47056306262996295,20.51234937,nan
86.25,22.324399948120103,285.0,24.022,5.9169999999999705,0.0,1.56150803551486,0.4737056562126789,20.46436668,nan
86.5625,22.324399948120103,137.0,24.465999999999998,7.297999999999999,0.0,1.87748553955073,0.439673315638358,20.42915733,nan
86.875,22.324399948120103,73.0,25.095,8.930999999999981,0.0,2.07665647607617,0.418814787791283,20.38786848,nan
87.1875,22.324399948120103,66.0,25.511,9.50900000000001,0.0,2.10232937080746,0.41710105750843196,20.34979128,nan
