LAT,LONG,ELEVATION,MAXTEMP,MINTEMP,RAIN,WINDSPEED,HUMIDITY,SOLAR
82.5,22.0121002197266,262.0,48.681999999999995,25.362,0.0102996792,1.16102188950089,0.289934870086806,16.38044496,nan
82.8125,22.0121002197266,253.0,45.994,24.62,0.051498424800000005,1.3882974804118202,0.299597045685214,15.78577491,nan
83.125,22.0121002197266,234.0,45.663000000000004,23.686999999999998,0.08583066,1.48713718722003,0.311850878558746,16.250909472,nan
83.4375,22.0121002197266,326.0,46.66,22.985,0.0549316512,1.42278058550159,0.32952812986403995,17.03288979,nan
83.75,22.0121002197266,276.0,48.226000000000006,23.353,0.0411987384,1.30973979381339,0.34450964516730503,17.4155553,nan
84.0625,22.0121002197266,220.0,47.568000000000005,24.105,0.0411987312,1.3234842323371998,0.351927500600712,16.313230458,nan
84.375,22.0121002197266,337.0,45.301,23.218000000000004,0.0171661392,1.4033352834283301,0.36657060286688,14.832792377999999,nan
84.6875,22.0121002197266,422.0,46.131,23.051,0.0,1.45752403889732,0.38997701191188594,14.650308342,nan
85.0,22.0121002197266,220.0,47.568000000000005,23.746,0.0,1.4535862921732,0.388250743379886,15.19025886,nan
85.3125,22.0121002197266,552.0,48.68600000000001,24.701,0.0,1.51189837668266,0.376000753959065,15.221304504,nan
85.625,22.0121002197266,361.0,48.231,24.994,0.0,1.7304795372166202,0.38948006990178397,14.265845298,nan
85.9375,22.0121002197266,402.0,48.288999999999994,24.97,0.0,1.97441479849242,0.41554190081065506,12.90611214,nan
86.25,22.0121002197266,587.0,48.916000000000004,25.101,0.0,2.15669087897834,0.44642051483200296,12.37263732,nan
86.5625,22.0121002197266,175.0,47.705,26.279,0.024032577599999997,2.4308375634363197,0.474683986327743,13.352343588,nan
86.875,22.0121002197266,43.0,43.483000000000004,27.853,0.092697192,2.69140229776932,0.5098915059344771,17.115857892,nan
87.1875,22.0121002197266,22.0,40.921,28.711,0.09613051199999999,2.8818872646647002,0.553834154321455,23.019188651999997,nan
87.5,22.0121002197266,9.0,39.218,28.779,0.14076252,3.02696253260881,0.6128657486588871,25.824431771999997,nan
87.8125,22.0121002197266,8.0,37.384,28.666,0.94757058,3.2891351839843703,0.6684683217521129,27.085614768000003,nan
88.125,22.0121002197266,7.0,35.718,28.575,2.48909004,3.59716171087185,0.7081892852237179,27.49499784,nan
82.5,22.324399948120103,306.0,48.081,23.329,0.0549316296,1.16243988328403,0.308232028552688,15.625582038,nan
82.8125,22.324399948120103,294.0,44.641999999999996,23.125999999999998,0.0446319504,1.39370462047938,0.31589550865342697,14.92565499,nan
83.125,22.324399948120103,292.0,43.411,23.212,0.0617980824,1.5794424153325801,0.325973129665288,15.68902221,nan
83.4375,22.324399948120103,403.0,44.458,23.419,0.024032592000000002,1.5634179372991202,0.33598266916560804,16.89086025,nan
83.75,22.324399948120103,388.0,45.792,23.486,0.0,1.33103569450761,0.342446885446126,17.55714312,nan
84.0625,22.324399948120103,267.0,44.622,23.81,0.0,1.2171745321591598,0.339000931479913,17.013822192,nan
84.375,22.324399948120103,315.0,43.891000000000005,22.74,0.0,1.38884092169052,0.33611270692889006,16.07012028,nan
84.6875,22.324399948120103,216.0,45.31100000000001,21.558000000000003,0.0,1.53898251527104,0.355943279444335,16.20972918,nan
85.0,22.324399948120103,212.0,47.395,22.201,0.0,1.45046890513022,0.34750294732236997,18.41893956,nan
85.3125,22.324399948120103,326.0,48.693000000000005,24.045,0.0,1.2162729161673,0.312563409756273,22.364661402,nan
85.625,22.324399948120103,445.0,48.415,24.636,0.0,1.21342452583093,0.314667408105536,24.89631129,nan
85.9375,22.324399948120103,276.0,46.8,25.199,0.0,1.4573098242306297,0.33088881871074,23.825981034,nan
86.25,22.324399948120103,285.0,45.724,25.558000000000003,0.0,1.7406520135948602,0.36300191406530397,21.42843363,nan
86.5625,22.324399948120103,137.0,47.63399999999999,26.916,0.0,2.0099911559167998,0.40041939839681795,20.82318597,nan
86.875,22.324399948120103,73.0,48.224,28.113000000000003,0.0411987168,2.41462983863781,0.450260664767624,21.96955728,nan
87.1875,22.324399948120103,66.0,45.157,28.49,0.266075208,2.7560176021318705,0.516118304928766,22.98256056,nan
87.5,22.324399948120103,12.0,41.605,28.318,0.86689044,2.91872396936491,0.586659910264083,24.313609512,nan
87.8125,22.324399948120103,5.0,39.343,27.99,1.687430844,3.06982900917433,0.6467596657942679,25.728640236,nan
88.125,22.324399948120103,3.0,37.622,27.89,1.1106491040000002,3.19776042317213,0.685924725248538,27.297168408,nan
82.5,22.636600494384798,332.0,43.716,22.375,0.0549316152,1.2400736315628,0.328882262635665,15.45823125,nan
82.8125,22.636600494384798,418.0,41.62,22.115,0.061798096799999994,1.31046106417438,0.336487442428374,14.30678988,nan
83.125,22.636600494384798,505.0,40.222,21.752,0.23517612,1.40566052008728,0.34519759491433194,13.71015027,nan
83.4375,22.636600494384798,532.0,41.031000000000006,21.72,0.211143528,1.46619958191955,0.35109633601607204,14.050913382000001,nan
83.75,22.636600494384798,449.0,40.658,21.776999999999997,0.0652313232,1.34704445234276,0.35902209326620294,13.781984418,nan
84.0625,22.636600494384798,498.0,40.899,21.884,0.0137329128,1.2574954953129298,0.350671896887062,13.295468088,nan
84.375,22.636600494384798,400.0,41.776,21.488000000000003,0.0,1.4959062093705002,0.331746664660029,13.594171212000001,nan
84.6875,22.636600494384798,560.0,43.276,20.605,0.0,1.72013476810949,0.321085972958184,14.181585012000001,nan
85.0,22.636600494384798,368.0,46.125,21.103,0.0,1.63094506537394,0.29855391936834996,16.052063508,nan
85.3125,22.636600494384798,522.0,47.751999999999995,22.715999999999998,0.0,1.28488681892892,0.27635828300339005,20.322444815999997,nan
85.625,22.636600494384798,278.0,47.3,23.671999999999997,0.0,1.05976628140911,0.28315240993093105,23.830877916,nan
85.9375,22.636600494384798,211.0,47.302,24.961,0.0,0.9867696867484158,0.306601407829388,24.777767268,nan
86.25,22.636600494384798,147.0,47.277,25.805999999999997,0.0,1.06536033033777,0.347671055825791,25.524562068,nan
86.5625,22.636600494384798,137.0,47.495,27.175,0.0,1.5338757459155903,0.386624525737314,24.824175336,nan
86.875,22.636600494384798,86.0,47.161,27.953000000000003,0.0,2.12097321665099,0.43907675498530896,23.758777511999998,nan
87.1875,22.636600494384798,63.0,46.271,28.013,0.54588276,2.59396905810753,0.510986350752867,23.65863948,nan
87.5,22.636600494384798,15.0,43.478,27.793000000000003,3.16886904,2.87629252852459,0.588217381600315,23.909009832,nan
87.8125,22.636600494384798,7.0,40.417,27.392,6.00814728,3.0129780285135,0.6469045238558371,24.587155512,nan
88.125,22.636600494384798,11.0,38.796,27.228,3.709602936,3.0686086727936,0.6824586980231,26.329833611999998,nan
82.5,22.9487991333008,399.0,41.923,21.736,0.0377654904,1.3049773761976498,0.34841628826939397,17.57672163,nan
82.8125,22.9487991333008,505.0,40.708,21.046999999999997,0.054931636799999996,1.3845815231918301,0.35380207056098795,15.745725882,nan
83.125,22.9487991333008,697.0,39.633,21.136,0.23517608399999998,1.3650650714676398,0.365746501870573,13.99618242,nan
83.4375,22.9487991333008,657.0,38.782,22.025,0.32787306,1.2621963999813601,0.37231559403062703,12.540154212000001,nan
83.75,22.9487991333008,570.0,39.19,21.8,0.22487652,1.14387393593586,0.38367054215376506,11.225310552,nan
84.0625,22.9487991333008,883.0,40.696,19.909000000000002,0.09613036800000001,1.12918802243339,0.40400878232130893,10.867445748,nan
84.375,22.9487991333008,657.0,42.321000000000005,18.98,0.0171661392,1.3121555289809599,0.396640689139089,11.347427195999998,nan
84.6875,22.9487991333008,587.0,44.611999999999995,18.998,0.0,1.5836138481545299,0.34795725478128703,12.003076062,nan
85.0,22.9487991333008,512.0,45.854,20.781,0.0,1.67055358055313,0.29395563664959495,13.118793300000002,nan
85.3125,22.9487991333008,614.0,47.059,23.25,0.0,1.5656998222912601,0.26902739236775197,15.5358009,nan
85.625,22.9487991333008,435.0,46.903999999999996,24.343000000000004,0.0,1.4921054146725903,0.277399319115692,19.59862428,nan
85.9375,22.9487991333008,239.0,46.229,25.805999999999997,0.0,1.42054346749888,0.302096315214225,23.689006235999997,nan
86.25,22.9487991333008,327.0,44.81100000000001,26.961,0.0,1.39940421943213,0.34373438440469606,25.391685132,nan
86.5625,22.9487991333008,160.0,43.93600000000001,27.593000000000004,0.0,1.60699892404834,0.39541392368122297,25.174839600000002,nan
86.875,22.9487991333008,133.0,43.924,27.732,0.13389588,1.97651370880169,0.457393270650945,24.879487014000002,nan
87.1875,22.9487991333008,61.0,44.54600000000001,27.664,0.67634604,2.3283023690386404,0.520615672885962,25.136712611999997,nan
87.5,22.9487991333008,34.0,44.238,27.455,2.7191178,2.5648367036343798,0.584132575380732,25.039746936,nan
87.8125,22.9487991333008,13.0,41.771,27.095,7.335089999999999,2.72597340748826,0.642883251493439,24.843155292,nan
88.125,22.9487991333008,17.0,39.14,26.84,5.16700998,2.8012426949391602,0.6835695437667391,25.632167111999998,nan
82.5,23.260999679565398,560.0,39.756,23.019000000000002,0.0411987168,1.6598285884200599,0.32611655151224295,16.58497392,nan
82.8125,23.260999679565398,519.0,39.984,23.546999999999997,0.0411987384,1.7131729016640702,0.32438069076189,17.62435503,nan
83.125,23.260999679565398,547.0,39.317,23.498,0.0858306816,1.6777773227272998,0.33539324817773997,15.335271252,nan
83.4375,23.260999679565398,716.0,38.606,22.144000000000002,0.0892639152,1.54073909218631,0.36159588681811,12.37926933,nan
83.75,23.260999679565398,881.0,40.102,20.46,0.0411986952,1.33278391464025,0.38578622190814704,10.537422498,nan
84.0625,23.260999679565398,809.0,42.221000000000004,20.506999999999998,0.0102996792,1.14345903431875,0.37472238821845794,10.344035952,nan
84.375,23.260999679565398,707.0,43.246,21.430999999999997,0.0,1.12170987356955,0.34154337777693705,10.996927884000002,nan
84.6875,23.260999679565398,608.0,43.693999999999996,22.25,0.0,1.3040742569696298,0.31449070543522495,11.806935048,nan
85.0,23.260999679565398,680.0,44.06100000000001,23.116999999999997,0.0,1.46959304520916,0.300022033120594,12.6406152,nan
85.3125,23.260999679565398,623.0,45.736000000000004,23.978,0.0,1.53942474909354,0.29983138420434996,13.545110088,nan
85.625,23.260999679565398,309.0,46.358999999999995,25.241999999999997,0.0,1.6290813127348998,0.309594909054899,15.139068912,nan
85.9375,23.260999679565398,307.0,46.35,26.595,0.0,1.6953069132065202,0.33024911446997696,18.667187964,nan
86.25,23.260999679565398,286.0,45.625,27.363000000000003,0.0,1.6977996119772398,0.36553689586289706,22.81601232,nan
86.5625,23.260999679565398,182.0,44.888999999999996,27.644000000000002,0.0,1.83783163851282,0.408278569727596,24.829320096,nan
86.875,23.260999679565398,127.0,44.356,27.767,0.0,2.0089431711929,0.46058846937211206,25.521916085999997,nan
87.1875,23.260999679565398,95.0,43.505,27.680999999999997,0.40683744,2.12437143997319,0.5244192270737029,25.937334252,nan
87.5,23.260999679565398,46.0,43.488,27.418000000000003,1.27029348,2.24534035765726,0.5752587173849111,26.031255768,nan
87.8125,23.260999679565398,35.0,42.678999999999995,27.197,0.7724766240000001,2.37977542661291,0.617177852875803,25.856377811999998,nan
88.125,23.260999679565398,18.0,40.339,26.831999999999997,3.82976496,2.45017096038804,0.665256698424132,25.800692688,nan
82.5,23.573299407959,828.0,39.741,23.511,0.061798104000000006,1.8035692807098502,0.325982374858502,10.85051475,nan
82.8125,23.573299407959,400.0,40.455,23.978,0.024032592000000002,1.7906481205699099,0.3149612149239289,12.12665724,nan
83.125,23.573299407959,702.0,40.662,24.09,0.0,1.78483195639072,0.312841427941587,12.86403768,nan
83.4375,23.573299407959,743.0,40.395,22.884,0.0,1.7263777336329902,0.32381064547926697,12.391701300000001,nan
