LAT,LONG,ELEVATION,MAXTEMP,MINTEMP,RAIN,WINDSPEED,HUMIDITY,SOLAR
82.5,22.0121002197266,262.0,32.66,24.394000000000002,5.02281234,3.73409081797189,0.750191703063735,23.661622152,nan
82.8125,22.0121002197266,253.0,32.73,24.535999999999998,4.17137346,3.6814653321320296,0.745107459795927,23.789528568,nan
83.125,22.0121002197266,234.0,32.603,24.831,4.306985978399999,3.59558036842515,0.737694885102703,24.047605511999997,nan
83.4375,22.0121002197266,326.0,32.105,25.003,6.2484760512,3.40433382663426,0.745992426880977,24.14857464,nan
83.75,22.0121002197266,276.0,31.999000000000002,25.052,9.9237426984,3.14867584705348,0.765015555334942,24.25825962,nan
84.0625,22.0121002197266,220.0,31.688000000000002,24.921,13.882257612,2.92116906446942,0.789561771600087,24.520056911999998,nan
84.375,22.0121002197266,337.0,30.948,24.464000000000002,17.00649576,2.7749365330201,0.8217272634673509,24.828969708000002,nan
84.6875,22.0121002197266,422.0,30.369,23.859,24.585341399999997,2.73820464629523,0.850754930236029,25.132661748,nan
85.0,22.0121002197266,220.0,29.663,23.314,28.08208512,2.80043097931708,0.8769336147703871,25.381293768000003,nan
85.3125,22.0121002197266,552.0,29.072,22.923000000000002,22.127150015999998,2.92578929635131,0.895579430216892,25.397888508,nan
85.625,22.0121002197266,361.0,28.888,22.886,20.9409732,3.05962954322576,0.8968534222516371,25.167431196,nan
85.9375,22.0121002197266,402.0,28.908,23.074,22.377771,3.0530505849175094,0.896910924555842,24.924220272,nan
86.25,22.0121002197266,587.0,29.31,23.535999999999998,21.17442708,2.84772068965377,0.8967676844989442,24.867737424,nan
86.5625,22.0121002197266,175.0,30.29,24.425,17.11293084,2.52015561740286,0.886796669513604,25.085867471999997,nan
86.875,22.0121002197266,43.0,31.175,25.484,16.524125208,2.21001304271335,0.87316723941959,25.39226466,nan
87.1875,22.0121002197266,22.0,31.31,26.05,24.91150788,2.0515989645551,0.877443746152813,25.49097972,nan
87.5,22.0121002197266,9.0,31.195,26.191,32.59163124,2.0968075931908,0.8872212965503999,25.521522048,nan
