LAT,LONG,ELEVATION,MAXTEMP,MINTEMP,RAIN,WINDSPEED,HUMIDITY,SOLAR
82.5,22.0121002197266,262.0,30.281999999999996,13.527000000000001,0.0,1.79361155197895,0.476444561338518,16.1026812,nan
82.8125,22.0121002197266,253.0,30.279,13.464,0.0,1.5412227131401899,0.487373070407816,16.22621376,nan
83.125,22.0121002197266,234.0,29.945,13.224,0.0,1.3568537162229999,0.517655931484944,16.39394172,nan
83.4375,22.0121002197266,326.0,29.47,12.796,0.0,1.43917843720358,0.5387615660828471,16.49823372,nan
83.75,22.0121002197266,276.0,29.096999999999998,12.449000000000002,0.0,1.58171548529656,0.5358790233279721,16.54301628,nan
84.0625,22.0121002197266,220.0,29.003,11.884,0.0,1.64022689331176,0.5585357619208261,16.563547800000002,nan
84.375,22.0121002197266,337.0,28.878,11.13,0.0,1.69644501798352,0.597496091134339,16.58739528,nan
84.6875,22.0121002197266,422.0,28.529,10.343,0.0,1.8038599883795698,0.6070224546415021,16.6405554,nan
85.0,22.0121002197266,220.0,28.095,10.027000000000001,0.0,1.8406243266244502,0.6140968546610289,16.76705832,nan
85.3125,22.0121002197266,552.0,27.404,10.312000000000001,0.0,1.69249492582235,0.6428064010256589,16.8594768,nan
85.625,22.0121002197266,361.0,27.019000000000002,10.177,0.0,1.384928775461,0.672533996100215,16.16079528,nan
85.9375,22.0121002197266,402.0,27.579,9.50700000000001,0.0411987384,1.12041812742584,0.689112271444561,14.78081592,nan
86.25,22.0121002197266,587.0,28.808000000000003,9.511000000000019,0.18110258640000002,1.05094237110675,0.7061560796744201,14.1587424,nan
86.5625,22.0121002197266,175.0,30.090999999999998,11.610999999999999,0.2085685344,1.16544864080563,0.6952811112636129,14.148612900000002,nan
86.875,22.0121002197266,43.0,31.535999999999998,14.255,0.0308990304,1.1801831362696398,0.6722604878871469,14.8172715,nan
87.1875,22.0121002197266,22.0,31.47,15.249,0.0,1.04420226285695,0.664757470804902,16.1461746,nan
87.5,22.0121002197266,9.0,31.134,15.683,0.01373292,0.99617741946897,0.673768461440037,16.4424888,nan
87.8125,22.0121002197266,8.0,30.67,16.199,0.03948228,1.1717976454598502,0.660687213332131,16.19100378,nan
88.125,22.0121002197266,7.0,31.655,17.089000000000002,0.0034332264000000003,1.46125886111742,0.6176251926110781,15.7049505,nan
82.5,22.324399948120103,306.0,28.410999999999998,12.845,0.0102996792,1.96666504539493,0.49039976820114,16.1963442,nan
82.8125,22.324399948120103,294.0,28.171,12.815999999999999,0.0308990448,1.9321524684228502,0.495539234773428,16.4037924,nan
83.125,22.324399948120103,292.0,27.57,12.539000000000001,0.0480651624,1.8807452524866202,0.517342293980102,16.4766348,nan
83.4375,22.324399948120103,403.0,27.31,12.251,0.034332264,1.8836734743436299,0.533358927470152,16.52495256,nan
83.75,22.324399948120103,388.0,27.443,12.062000000000001,0.013732905600000001,1.96899109866232,0.5389124927729799,16.537384799999998,nan
84.0625,22.324399948120103,267.0,28.085,11.700999999999999,0.0,2.09124861489265,0.553700728363087,16.537728599999998,nan
84.375,22.324399948120103,315.0,28.605,11.525,0.0,2.24502216057719,0.5683272533746629,16.5341286,nan
84.6875,22.324399948120103,216.0,28.675,11.318,0.0,2.31692988341358,0.577159677558782,16.55504928,nan
85.0,22.324399948120103,212.0,28.484,10.792,0.0,2.09158507272593,0.5940417931915811,16.53648912,nan
85.3125,22.324399948120103,326.0,28.122,10.372,0.0,1.5587272189373502,0.614902412224975,16.36205328,nan
85.625,22.324399948120103,445.0,28.099,10.324000000000002,0.0,1.17098517947997,0.629644546387305,16.05482568,nan
85.9375,22.324399948120103,276.0,28.484,10.665,0.0034332264000000003,1.12580097848337,0.6340905213868481,15.5066598,nan
86.25,22.324399948120103,285.0,28.846999999999998,10.927,0.0343322568,1.10958689598302,0.6456476497696949,14.88852648,nan
86.5625,22.324399948120103,137.0,29.206,11.855,0.074672676,1.1448007415897,0.651327308481605,14.99855688,nan
86.875,22.324399948120103,73.0,30.193,13.455,0.067806216,1.1445376823125801,0.645668266783875,15.73767522,nan
87.1875,22.324399948120103,66.0,30.765,14.988,0.037765512,1.14353875916597,0.642190826531416,16.3438875,nan
87.5,22.324399948120103,12.0,30.103,16.238,0.0034332264000000003,1.2694605040418898,0.648966463637528,16.3809027,nan
87.8125,22.324399948120103,5.0,29.125999999999998,16.461,0.010299672,1.51714528610328,0.652132684834832,16.227110699999997,nan
88.125,22.324399948120103,3.0,28.478,16.304000000000002,0.010299672,1.8340835024508997,0.641772281135326,15.9857397,nan
82.5,22.636600494384798,332.0,26.564,11.020999999999999,0.06008148,1.9321332439593704,0.524146159695766,15.62591268,nan
82.8125,22.636600494384798,418.0,26.212,11.417,0.0901222344,2.09747851692973,0.51826244342725,16.12603008,nan
83.125,22.636600494384798,505.0,25.656,11.440999999999999,0.101280276,2.21175994092384,0.524965391180322,16.29039348,nan
83.4375,22.636600494384798,532.0,25.57,11.343,0.08325561599999999,2.23325888640667,0.53497323546454,16.3389456,nan
83.75,22.636600494384798,449.0,25.971999999999998,11.171,0.0566483184,2.25337991893936,0.549664838032508,16.0729344,nan
84.0625,22.636600494384798,498.0,26.750999999999998,10.97,0.024890896800000003,2.34240202113729,0.5709485678513051,15.70358988,nan
84.375,22.636600494384798,400.0,27.433000000000003,11.065999999999999,0.0102996792,2.47238287057018,0.583135388800339,15.53213808,nan
84.6875,22.636600494384798,560.0,27.704,11.110999999999999,0.0102996792,2.46767133578527,0.587261635118557,15.28632792,nan
85.0,22.636600494384798,368.0,27.669,10.735999999999999,0.0308990664,2.1157430393861802,0.6042217489255359,14.51891088,nan
85.3125,22.636600494384798,522.0,27.625999999999998,10.32,0.042057072,1.51610982174746,0.622379998285441,13.88671992,nan
85.625,22.636600494384798,278.0,28.066,10.499,0.0205993656,1.14033495866775,0.6205749787913989,14.17521312,nan
85.9375,22.636600494384798,211.0,28.526999999999997,11.365,0.0034332264000000003,1.07968345213554,0.612109862631059,14.8915152,nan
86.25,22.636600494384798,147.0,28.326999999999998,11.96,0.0102996864,1.1096533548701002,0.613915013659035,15.5264652,nan
86.5625,22.636600494384798,137.0,28.105,12.697000000000001,0.0283241232,1.1862672454549,0.6137328326379791,15.808105800000002,nan
