LAT,LONG,ELEVATION,MAXTEMP,MINTEMP,RAIN,WINDSPEED,HUMIDITY,SOLAR
82.5,22.0121002197266,262.0,27.796,12.537,0.0,2.49884208821517,0.537213453681697,19.885662252,nan
82.8125,22.0121002197266,253.0,27.978,12.59,0.0,2.36748568252087,0.525175483714422,19.954632348,nan
83.125,22.0121002197266,234.0,27.686999999999998,12.604000000000001,0.0,2.2424872129693902,0.515157704250091,20.039511636,nan
83.4375,22.0121002197266,326.0,27.386,12.602,0.0,2.1380913064271,0.514757726347065,20.046035232,nan
83.75,22.0121002197266,276.0,27.07,12.717,0.0,2.04504012115277,0.5236205146913111,20.035522602,nan
84.0625,22.0121002197266,220.0,26.666999999999998,12.815,0.0,2.01136682439048,0.538006974467501,20.058019812,nan
84.375,22.0121002197266,337.0,25.9,12.664000000000001,0.0,2.0962788306133704,0.553654890750367,20.114486568,nan
84.6875,22.0121002197266,422.0,25.078000000000003,12.193,0.0,2.26409701543128,0.5613812507786761,20.167257168,nan
85.0,22.0121002197266,220.0,24.896,11.299000000000001,0.0,2.34531323807537,0.5778638815140771,20.27261232,nan
85.3125,22.0121002197266,552.0,24.642,10.404000000000002,0.0,2.21386666280827,0.5972924000246159,20.382519600000002,nan
85.625,22.0121002197266,361.0,24.218000000000004,9.93799999999999,0.0,1.99309857825335,0.6021115851263941,20.30017428,nan
85.9375,22.0121002197266,402.0,24.105,9.71499999999998,0.0,1.7980122363025701,0.634572714287092,19.1307915,nan
86.25,22.0121002197266,587.0,24.517,10.387,0.0,1.81022943648156,0.6586256704542149,16.85851722,nan
86.5625,22.0121002197266,175.0,25.654,12.26,0.0,1.89700242379152,0.637280168398146,16.1582076,nan
86.875,22.0121002197266,43.0,27.224,13.998,0.0,1.84142730746939,0.6091257151109539,17.05527477,nan
87.1875,22.0121002197266,22.0,27.96,15.015999999999998,0.0,1.71153822494811,0.603618697568967,18.7059393,nan
87.5,22.0121002197266,9.0,28.232,15.687999999999999,0.0,1.6407824589558997,0.60210887501939,19.76416992,nan
87.8125,22.0121002197266,8.0,28.855,16.195,0.0,1.70653328507234,0.588004209156545,19.74385728,nan
88.125,22.0121002197266,7.0,30.166999999999998,16.848,0.0,1.8941814591847501,0.5583104800258051,19.45220652,nan
82.5,22.324399948120103,306.0,26.183000000000003,12.258,0.0,2.66488671687258,0.5721651175459399,19.7349795,nan
82.8125,22.324399948120103,294.0,26.101,12.244000000000002,0.0,2.610583196905,0.5634884544380729,19.8302616,nan
83.125,22.324399948120103,292.0,26.054000000000002,11.998,0.0,2.4630459479522,0.554361098151709,20.014818767999998,nan
83.4375,22.324399948120103,403.0,25.874000000000002,11.905999999999999,0.0,2.2666717129550897,0.54540763135252,20.054814768,nan
83.75,22.324399948120103,388.0,25.829,12.025,0.0,2.10175462384015,0.545033666591312,20.001597498,nan
84.0625,22.324399948120103,267.0,25.449,12.147,0.0,2.06704883451509,0.5537694653598871,19.97066088,nan
84.375,22.324399948120103,315.0,25.111,12.360999999999999,0.0,2.19456455391846,0.564761636803346,19.976288832,nan
84.6875,22.324399948120103,216.0,24.679000000000002,12.347999999999999,0.0,2.35517889128008,0.575841458791028,19.99332747,nan
85.0,22.324399948120103,212.0,24.415,11.67,0.0,2.3564014506500697,0.605286730461452,20.09632392,nan
85.3125,22.324399948120103,326.0,24.343000000000004,10.943,0.0,2.12175666337613,0.634595048063073,20.22958287,nan
85.625,22.324399948120103,445.0,24.369,10.606,0.0,1.9212575561016203,0.622855061297208,20.24009505,nan
